#ts=2026-07-09 14:29:46,rate=6.0
交易所,品种,月差,组合合约,近月到期天数,月差跨度(月),最新价差,价差买/卖,盘口宽(跳),fullcarry,时间贴水,转抛比例,可转抛,_last,_ask,_cap,_stor,_dec
SHFE,AL,al2608-al2609,,39,1,-30,-40/-30,2.0,-138.8,,0.2161,是,-30,-30,126.8025,12.0,0.0
SHFE,AL,al2610-al2611,,98,1,-30,-35/-15,4.0,-139.1,,0.2157,是,-30,-15,127.105,12.0,0.0
SHFE,AG,ag2609-ag2610,,68,1,-17,-21/-13,8.0,-79.76,,0.2131,是,-17,-13,79.277,0.48,0.0
CZCE,SH,SH608-SH609,SPD SH608&SH609,36,1,-36,-37/-36,1.0,-172.44,,0.2088,是,-36,-36,10.4445,162.0,0.0
SHFE,AU,au2612-au2702,,159,2,-2.04,-2.28/-1.88,20.0,-10.03,,0.2034,是,-2.04,-1.88,9.9213,0.108,0.0
SHFE,AU,au2704-au2706,,280,2,-2.04,-2.38/-1.32,53.0,-10.08,,0.2024,是,-2.04,-1.32,9.9702,0.108,0.0
SHFE,AG,ag2612-ag2701,,159,1,-16,-25/-10,15.0,-80.04,,0.1999,是,-16,-10,79.5575,0.48,0.0
SHFE,AU,au2609-au2610,,68,1,-0.92,-1.44/-0.92,26.0,-5.0,,0.1841,是,-0.92,-0.92,4.9431,0.054,0.0
SHFE,PB,pb2609-pb2610,,68,1,-20,-30/-20,2.0,-109.58,,0.1825,是,-20,-20,88.5775,21.0,0.0
SHFE,AL,al2609-al2610,,68,1,-25,-30/-15,3.0,-138.97,,0.1799,是,-25,-15,126.9675,12.0,0.0
SHFE,AG,ag2701-ag2702,,190,1,-14,-24/-3,21.0,-80.13,,0.1747,是,-14,-3,79.6455,0.48,0.0
CZCE,SM,SM612-SM701,SPD SM612&SM701,158,1,-8,-10/-8,1.0,-46.25,,0.173,是,-8,-8,32.747,13.5,0.0
